OWNER-CIK,SERIES-ID,SERIES-NAME,CLASS-CONTRACT-ID,CLASS-CONTRACT-NAME,CLASS-CONTRACT-TICKER-SYMBOL
0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007429,Investor A,
0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007430,Investor B,
0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007431,Investor C,
0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007432,Institutional,
0000922457,S000002724,"BLACKROCK GLOBAL SMALLCAP FUND, INC.",C000007433,Class R,
